n rho12 rho13 rho14 rho23 rho24 rho34
4 0.650134 0.569904 0.313003 0.272998 0.213140 0.620059
5 0.690861 0.578861 0.321222 0.284195 0.225731 0.625057
7 0.743982 0.592617 0.340243 0.299558 0.249293 0.633791
9 0.775711 0.602088 0.362392 0.309713 0.272486 0.643259
11 0.796669 0.608317 0.386795 0.316902 0.295113 0.655036
13 0.811688 0.612487 0.412790 0.322536 0.316991 0.669483
16 0.827788 0.617046 0.452294 0.329799 0.347488 0.694482
20 0.842251 0.622083 0.497819 0.338793 0.380753 0.726515
23 0.849799 0.625098 0.522252 0.345021 0.398855 0.744711
28 0.858559 0.628091 0.545877 0.354013 0.418108 0.763280
33 0.864384 0.628582 0.556302 0.361109 0.428715 0.773529
38 0.868208 0.627216 0.559637 0.366239 0.434281 0.779900
45 0.870726 0.623285 0.556893 0.369477 0.436015 0.783878
52 0.870381 0.617646 0.549048 0.367410 0.432160 0.783689
60 0.867180 0.609451 0.536156 0.358873 0.421975 0.780213
69 0.860816 0.598471 0.517897 0.343038 0.404449 0.773573
79 0.850970 0.585435 0.495108 0.320017 0.379809 0.764008
91 0.836349 0.571315 0.468845 0.289007 0.347991 0.751828
104 0.819067 0.559946 0.445875 0.256599 0.316714 0.739893
119 0.799628 0.551896 0.427993 0.224344 0.288621 0.728372
135 0.781148 0.547542 0.417134 0.196819 0.267754 0.718637
154 0.762721 0.544731 0.410318 0.171218 0.251310 0.709400
174 0.746948 0.542308 0.406351 0.150139 0.240022 0.701402
198 0.732213 0.539375 0.403536 0.131215 0.231909 0.693249
223 0.720855 0.536539 0.401739 0.118043 0.228100 0.686108
252 0.711511 0.534535 0.400833 0.110664 0.228373 0.679924
285 0.705016 0.533865 0.400910 0.111331 0.233746 0.675867
321 0.702647 0.534298 0.401873 0.120886 0.244469 0.674675
362 0.704720 0.535090 0.402659 0.139535 0.259866 0.676496
407 0.710909 0.535472 0.401860 0.165914 0.277204 0.680665
457 0.720195 0.535067 0.398762 0.198061 0.294038 0.686104
513 0.731202 0.533107 0.393302 0.232332 0.308289 0.691823
575 0.742108 0.528947 0.386890 0.264426 0.318706 0.697321
645 0.750648 0.522815 0.380803 0.290934 0.323474 0.702757
723 0.754844 0.515688 0.375712 0.309714 0.321797 0.707503
809 0.754976 0.507819 0.370559 0.321453 0.313909 0.710795
905 0.751333 0.499230 0.363508 0.326497 0.297920 0.713764
1011 0.744323 0.490706 0.356788 0.324579 0.275711 0.717818
1130 0.735468 0.483085 0.353665 0.317362 0.252197 0.723264
1261 0.726116 0.475715 0.353527 0.306291 0.228698 0.730646
1407 0.716146 0.465484 0.352713 0.288245 0.201310 0.738574
1570 0.705337 0.451046 0.346847 0.258941 0.165482 0.744007
1750 0.696054 0.431155 0.333336 0.218849 0.120728 0.745201
